Course: 24Sp Data Structures and Algo 1 (ID: 95142)
  - Assignment: Syllabus Quiz | Due Date: 2024-02-03 | Due Time: 04:59:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW 1 - Basic Java | Due Date: 2024-02-01 | Due Time: 04:59:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW2 - Calculator | Due Date: 2024-02-08 | Due Time: 04:59:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW3 - Basketball | Due Date: 2024-02-15 | Due Time: 04:59:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW4 - Blackjack | Due Date: 2024-02-22 | Due Time: 04:59:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW5 - Vectors | Due Date: 2024-02-29 | Due Time: 04:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW6 - LinkedList Queue | Due Date: 2024-03-14 | Due Time: 03:59:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW7 - Big Oh | Due Date: 2024-03-21 | Due Time: 03:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW8-Recursion | Due Date: 2024-03-28 | Due Time: 03:59:59Z | Status: Active | Remaining Time: 3 days, 23 hours, 7 minutes
  - Assignment: Lab 01 | Due Date: 2024-01-30 | Due Time: 04:59:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Lab 02 - Strings and Arrays | Due Date: 2024-02-06 | Due Time: 04:59:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Lab 03 - Testing | Due Date: 2024-02-13 | Due Time: 04:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Lab 04 - ArrayList | Due Date: 2024-02-27 | Due Time: 04:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Lab 05 - Debugging | Due Date: 2024-03-19 | Due Time: 03:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Lab 06 - Recursion | Due Date: 2024-03-26 | Due Time: 03:59:00Z | Status: Active | Remaining Time: 1 days, 23 hours, 6 minutes
